Item,Amount,Details,Detail Amount,Total
Total Crowd Funding Donations,10048,,,10048
WeMakeIt Fees (10%),-1004.8,,,9043.2
Donation to Hackteria,-43.2,,,9000
,,"Train, Basel Luzern, SBB ",-78.4,
,,"Flights, London Basel, BA",-108.2,
,,"Coach, Bristol London, National Express",-41.07,
,,"Food/Drink, Migros",-4.1,
,,"Food/Drink, Migros",-25.4,
,,"Food/Drink, Migros ",-6.1,
,,"Food/Drink, Migros ",-19.5,
,,"Food/Drink, Lounge & Bar Suite ",-43,
"Expenses (Kaspar, Luzern, June)",-325.77,,,8674.23
"Developer Time (Kaspar, June)",-1400,50 hours x 28CHF,,7274.23
"Expenses (Kaspar, Bristol, July)",-118.78,PC workstation for camera module,,7155.45
